CollegeID,CourseId,StreamId,Duration,AnnualFees,InternationalFees,Eligibility
9,617,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech CS/IT/ECE/ MCA /M.Sc.CS
9,618,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech CS/IT/ECE/ MCA /M.Sc.CS
9,619,1,2 Years Regular/ 3 Years Weekend,"7,60,000 - 1,00,000/-"," $1,400.00 ",Minimum 55% marks in B.Tech CS/IT/ECE/ MCA /M.Sc.CS
9,620,1,1 Year,"80,000 - 1,04,000/-"," $1,700.00 ",Minimum 55% marks in B.Tech CS/IT/ECE/ MCA /M.Sc.CS
9,621,6,3 Years,"66,000 - 84,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,622,6,3 Years,"66,000 - 84,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,623,6,3 Years,"66,000 - 84,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,624,6,3 Years,"70,000 - 92,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,625,6,3 Years,"70,000 - 92,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,626,6,3 Years,"70,000 - 92,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,627,6,3 Years,"70,000 - 92,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,628,6,3 Years,"70,000 - 92,000/-", N.A ,Minimum 45% marks in 10+2/PCM/ PCB
9,629,6,3 Years,"70,000 - 92,000/-", N.A ,Minimum 50%marks in Graduation with relevant subjects
9,630,6,3 Years,"70,000 - 92,000/-", N.A ,Minimum 50%marks in Graduation with relevant subjects
9,631,6,4 Years,"70,000 - 92,000/-", N.A ,Minimum 50%marks in Graduation with relevant subjects
9,632,6,2 Years,"77,000 - 1,00,000/-", N.A ,Minimum 50%marks in Graduation with relevant subjects
9,633,6,2 Years,"77,000 - 1,00,000/-", N.A ,Minimum 50%marks in Graduation with relevant subjects
9,634,6,2 Years,"77,000 - 1,00,000/-", N.A ,Minimum 50%marks in Graduation with relevant subjects
9,635,6,2 Years,"77,000 - 1,00,000/-", N.A ,Minimum 50%marks in Graduation with relevant subjects
9,636,6,2 Years,"77,000 - 1,00,000/-", N.A ,Minimum 50%marks in Graduation with Maths as a compulsory subject.
